"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 30 00:29:14 BDT 2024","Sun Jun 30 00:29:16 BDT 2024","2870","webkit","checkoutItemTest.spec.ts","","","","Test Secenerio One -P1",""
"passed","Sun Jun 30 00:29:14 BDT 2024","Sun Jun 30 00:29:15 BDT 2024","1870","chromium","checkoutItemTest.spec.ts","","","","Test Secenerio One -P1",""
"passed","Sun Jun 30 00:29:14 BDT 2024","Sun Jun 30 00:29:16 BDT 2024","2882","firefox","checkoutItemTest.spec.ts","","","","Test Secenerio One -P1",""
